,Year,Date,Latin_Name,Count,Mean_Length,Mean_Weight
63,1980,1980-09-05,Aplodinotus grunniens,1.0,22.55,0.12
64,1980,1980-09-05,Dorosoma cepedianum,292.0,16.73493150684932,0.0576712328767123
65,1980,1980-09-05,Ictalurus punctatus,148.0,17.82702702702703,0.10040540540540535
66,1980,1980-09-08,Aplodinotus grunniens,28.0,18.90714285714285,0.2134642857142857
67,1980,1980-09-08,Dorosoma cepedianum,69.0,20.941304347826083,0.07492753623188401
68,1980,1980-09-08,Ictalurus punctatus,298.0,17.164093959731545,0.1090402684563758
69,1980,1980-09-09,Aplodinotus grunniens,29.0,24.308620689655175,0.2322068965517241
70,1980,1980-09-09,Dorosoma cepedianum,15.0,17.950000000000003,0.10393333333333334
71,1980,1980-09-09,Ictalurus punctatus,98.0,21.784693877551017,0.1487142857142857
72,1980,1980-09-10,Aplodinotus grunniens,44.0,19.549999999999997,0.14477272727272728
73,1980,1980-09-10,Dorosoma cepedianum,86.0,11.003488372093022,0.0338837209302325
74,1980,1980-09-10,Ictalurus punctatus,158.0,13.512025316455697,0.07756329113924047
75,1980,1980-09-11,Aplodinotus grunniens,66.0,19.504545454545454,0.16666666666666663
76,1980,1980-09-11,Dorosoma cepedianum,5981.0,7.647809730814245,0.0039057013877277086
77,1980,1980-09-11,Ictalurus punctatus,56.0,28.603571428571428,0.3223035714285714
78,1980,1980-09-15,Aplodinotus grunniens,146.0,27.871917808219177,0.2975821917808218
79,1980,1980-09-15,Dorosoma cepedianum,831.0,14.373104693140796,0.03594584837545121
80,1980,1980-09-15,Ictalurus punctatus,50.0,28.069999999999997,0.33297999999999994
81,1980,1980-09-17,Aplodinotus grunniens,102.0,24.579411764705885,0.35580392156862745
82,1980,1980-09-17,Dorosoma cepedianum,2909.0,11.248178068064625,0.023323135097971775
83,1980,1980-09-17,Ictalurus punctatus,93.0,13.517741935483867,0.10324731182795696
84,1980,1980-09-29,Aplodinotus grunniens,429.0,30.151398601398604,0.3506293706293706
85,1980,1980-09-29,Dorosoma cepedianum,2683.0,11.497074170704435,0.030011181513231386
86,1980,1980-09-29,Ictalurus punctatus,161.0,16.307763975155275,0.14126708074534156
87,1980,1980-09-30,Aplodinotus grunniens,2.0,34.55,0.44499999999999995
88,1980,1980-09-30,Dorosoma cepedianum,101.0,27.896534653465345,0.18891089108910886
89,1980,1980-09-30,Ictalurus punctatus,29.0,14.067241379310348,0.06848275862068962
90,1980,1980-10-01,Aplodinotus grunniens,15.0,15.55,0.10399999999999997
91,1980,1980-10-01,Dorosoma cepedianum,56.0,11.942857142857145,0.02205357142857137
92,1980,1980-10-01,Ictalurus punctatus,72.0,19.591666666666665,0.12665277777777778
93,1980,1980-10-02,Aplodinotus grunniens,119.0,22.27268907563025,0.21299999999999994
94,1980,1980-10-02,Dorosoma cepedianum,1816.0,16.465748898678413,0.01412334801762113
95,1980,1980-10-02,Ictalurus punctatus,48.0,25.362499999999994,0.13981249999999998
96,1981,1981-09-22,Aplodinotus grunniens,1697.0,8.281879787860932,0.01902769593400112
97,1981,1981-09-22,Dorosoma cepedianum,15199.0,10.758829528258438,0.014386472794262754
98,1981,1981-09-22,Ictalurus punctatus,547.0,10.588391224862889,0.013784277879341845
99,1981,1981-09-24,Aplodinotus grunniens,181.0,9.522375690607735,0.03558011049723751
100,1981,1981-09-24,Dorosoma cepedianum,233.0,9.095064377682405,0.02137339055793986
101,1981,1981-09-24,Ictalurus punctatus,196.0,15.06530612244898,0.08882653061224488
102,1981,1981-09-25,Aplodinotus grunniens,270.0,11.905555555555557,0.02696296296296291
103,1981,1981-09-25,Dorosoma cepedianum,1098.0,10.894262295081967,0.005938069216757666
104,1981,1981-09-25,Ictalurus punctatus,232.0,13.74396551724138,0.07469827586206892
105,1981,1981-09-28,Aplodinotus grunniens,243.0,11.068518518518522,0.044320987654320944
106,1981,1981-09-28,Dorosoma cepedianum,1684.0,7.9597387173396665,0.005997624703087843
107,1981,1981-09-28,Ictalurus punctatus,164.0,13.75121951219512,0.23420731707317072
108,1981,1981-09-29,Aplodinotus grunniens,486.0,15.568518518518522,0.109238683127572
109,1981,1981-09-29,Dorosoma cepedianum,4059.0,11.295011086474503,0.01608524267060845
110,1981,1981-09-29,Ictalurus punctatus,89.0,18.707303370786516,0.1537078651685393
111,1981,1981-09-30,Aplodinotus grunniens,634.0,10.34179810725552,0.03517350157728704
112,1981,1981-09-30,Dorosoma cepedianum,11928.0,8.067857142857143,0.00780264922870552
113,1981,1981-09-30,Ictalurus punctatus,195.0,12.31923076923077,0.06615384615384609
114,1981,1981-10-01,Aplodinotus grunniens,435.0,14.343103448275865,0.05550574712643671
115,1981,1981-10-01,Dorosoma cepedianum,7074.0,10.60089058524173,0.006974837432852638
116,1981,1981-10-01,Ictalurus punctatus,176.0,12.936363636363636,0.0678863636363636
117,1983,1983-07-22,Aplodinotus grunniens,1397.0,43.55,0.0673256979241231
118,1983,1983-07-22,Dorosoma cepedianum,42339.0,34.55,0.0113372776872387
119,1983,1983-07-22,Ictalurus punctatus,127.0,55.55,0.0629527559055118
120,1983,1983-08-19,Aplodinotus grunniens,1070.0,37.55,0.0413757009345794
121,1983,1983-08-19,Ictalurus punctatus,452.0,43.55,0.077433628318584
122,1983,1983-09-20,Dorosoma cepedianum,8150.0,34.55,0.0146921472392638
123,1983,1983-09-27,Aplodinotus grunniens,1758.0,34.55,0.0334186575654152
124,1983,1983-09-27,Dorosoma cepedianum,2900.0,34.55,0.0139206896551724
125,1983,1983-09-27,Ictalurus punctatus,1138.0,76.55,0.0216695957820738
126,1983,1983-09-29,Aplodinotus grunniens,2961.0,28.55,0.0036710570753123
127,1983,1983-09-29,Dorosoma cepedianum,326.0,43.55,0.0346932515337423
128,1983,1983-09-29,Ictalurus punctatus,98.0,55.55,0.09744897959183668
129,1983,1983-10-03,Aplodinotus grunniens,723.0,40.55,0.05562655601659751
130,1983,1983-10-03,Ictalurus punctatus,352.0,52.55,0.05242613636363631
131,1983,1983-10-04,Aplodinotus grunniens,3064.0,43.12604438642298,0.04652545691905999
132,1983,1983-10-04,Dorosoma cepedianum,8353.0,17.54485214892853,0.05209697114809045
133,1983,1983-10-04,Ictalurus punctatus,3698.0,63.93182801514332,0.01980530016224979
134,1983,1983-10-05,Aplodinotus grunniens,640.0,55.55,0.074328125
135,1983,1983-10-05,Dorosoma cepedianum,284.0,31.550000000000004,0.2903838028169014
136,1983,1983-10-05,Ictalurus punctatus,716.0,49.55,0.0195810055865921
137,1983,1983-10-06,Aplodinotus grunniens,547.0,31.550000000000004,0.0196435100548446
138,1983,1983-10-06,Dorosoma cepedianum,2478.0,28.550000000000004,0.0182457627118644
139,1983,1983-10-06,Ictalurus punctatus,286.0,49.55,0.029097902097902
140,1985,1985-09-04,Aplodinotus grunniens,389.0,5.514010282776351,0.009403598971722332
141,1985,1985-09-04,Dorosoma cepedianum,257.0,4.55,0.0013463035019454937
142,1985,1985-09-04,Ictalurus punctatus,110.0,22.30454545454546,0.13479090909090907
143,1985,1985-09-06,Aplodinotus grunniens,538.0,8.581598513011151,0.016475836431226767
144,1985,1985-09-06,Dorosoma cepedianum,206.0,12.76359223300971,0.06087864077669898
145,1985,1985-09-06,Ictalurus punctatus,70.0,16.507142857142856,0.9204142857142857
146,1985,1985-09-08,Aplodinotus grunniens,31.0,14.711290322580647,0.06580645161290317
147,1985,1985-09-08,Dorosoma cepedianum,102.0,4.55,0.0008823529411764
148,1985,1985-09-08,Ictalurus punctatus,26.0,24.050000000000004,0.16499999999999998
149,1985,1985-09-10,Aplodinotus grunniens,18.0,16.216666666666665,0.31699999999999995
150,1985,1985-09-10,Dorosoma cepedianum,10.0,19.55,0.145
151,1985,1985-09-10,Ictalurus punctatus,9.0,29.883333333333333,0.28455555555555556
152,1985,1985-09-11,Aplodinotus grunniens,11.0,28.822727272727274,0.29181818181818175
153,1985,1985-09-11,Dorosoma cepedianum,88.0,18.629545454545454,0.1160681818181818
154,1985,1985-09-11,Ictalurus punctatus,48.0,27.299999999999997,0.21335416666666662
155,1985,1985-09-17,Aplodinotus grunniens,273.0,12.98956043956044,0.06956776556776553
156,1985,1985-09-17,Dorosoma cepedianum,51.0,22.66764705882353,0.12715686274509802
157,1985,1985-09-17,Ictalurus punctatus,13.0,29.011538461538468,0.39169230769230773
158,1985,1985-09-24,Aplodinotus grunniens,1680.0,11.664285714285715,0.04589285714285709
159,1985,1985-09-24,Dorosoma cepedianum,58.0,15.515517241379312,0.03437931034482753
160,1985,1985-09-24,Ictalurus punctatus,148.0,24.21216216216216,0.1557432432432432
161,1985,1985-09-25,Aplodinotus grunniens,495.0,8.065151515151515,0.07258585858585859
162,1985,1985-09-25,Dorosoma cepedianum,366.0,14.09098360655738,0.011519125683060105
163,1985,1985-09-25,Ictalurus punctatus,114.0,23.865789473684213,0.17526315789473684
164,1985,1985-09-26,Aplodinotus grunniens,411.0,11.893065693430657,0.047148418491484136
165,1985,1985-09-26,Dorosoma cepedianum,1195.0,8.664644351464435,0.034451882845188214
166,1985,1985-09-26,Ictalurus punctatus,49.0,27.019387755102038,0.225734693877551
167,1985,1985-10-01,Aplodinotus grunniens,1531.0,23.226028739386024,0.2633847158719791
168,1985,1985-10-01,Dorosoma cepedianum,201.0,16.355970149253732,0.06711442786069648
169,1985,1985-10-01,Ictalurus punctatus,235.0,17.647872340425533,0.09936170212765955
170,1985,1985-10-02,Aplodinotus grunniens,2690.0,20.647397769516733,0.19147174721189586
171,1985,1985-10-02,Dorosoma cepedianum,1351.0,18.057772020725388,0.08340932642487038
172,1985,1985-10-02,Ictalurus punctatus,832.0,16.910576923076924,0.08871033653846148
173,1987,1987-09-02,Aplodinotus grunniens,77.0,19.66688311688312,0.17045454545454544
174,1987,1987-09-02,Dorosoma cepedianum,1065.0,16.735915492957748,0.05614741784037552
175,1987,1987-09-02,Ictalurus punctatus,34.0,29.43235294117647,0.31764705882352945
176,1987,1987-09-03,Aplodinotus grunniens,94.0,11.890425531914895,0.02797872340425531
177,1987,1987-09-03,Dorosoma cepedianum,3226.0,11.215840049597025,0.03007129572225665
178,1987,1987-09-03,Ictalurus punctatus,82.0,14.83048780487805,0.0770121951219512
179,1987,1987-09-04,Aplodinotus grunniens,88.0,12.015909090909092,0.03374999999999997
180,1987,1987-09-04,Dorosoma cepedianum,613.0,13.34445350734095,0.03778955954322997
